SCF SCFKIN SCFPOT
-3855.901261712 3422.433643277 -7278.334904989
-3855.96594727 3422.275528125 -7278.241475395
-3856.029848801 3422.491935743 -7278.521784544
-3856.082383317 3422.825381641 -7278.907764958
-3856.117788185 3423.13404232 -7279.251830506
-3856.143576573 3423.281624542 -7279.425201116
-3856.164472295 3423.305304098 -7279.469776393
-3856.182984645 3423.190450636 -7279.373435281
-3856.200302717 3423.023970672 -7279.224273389
-3856.215434182 3422.806366049 -7279.021800231
-3856.228076426 3422.627439006 -7278.855515432
-3856.238884784 3422.542699315 -7278.781584099
-3856.248539194 3422.49770943 -7278.746248625
-3856.256878832 3422.513465334 -7278.770344166
-3856.264064427 3422.535501834 -7278.799566261
-3856.270394182 3422.518515461 -7278.788909642
-3856.276267239 3422.510065477 -7278.786332717
-3856.281634767 3422.482238468 -7278.763873236
-3856.286107644 3422.416385725 -7278.70249337
-3856.289798719 3422.407512146 -7278.697310865
-3856.292996883 3422.392494045 -7278.685490929
-3856.296155949 3422.40020906 -7278.696365009
-3856.299151032 3422.417586927 -7278.716737959
-3856.301694994 3422.401159349 -7278.702854343
-3856.303906998 3422.371658251 -7278.675565248
-3856.305990439 3422.333376807 -7278.639367246
-3856.3080758 3422.283990407 -7278.592066208
-3856.31005431 3422.235632748 -7278.545687058
-3856.311723528 3422.189478132 -7278.50120166
-3856.313120966 3422.149853428 -7278.462974394
-3856.314350833 3422.114693495 -7278.429044328
-3856.315424114 3422.086769631 -7278.402193745
-3856.31627127 3422.066284866 -7278.382556136
-3856.316959084 3422.069747642 -7278.386706726
-3856.317725195 3422.086668018 -7278.404393213
-3856.318392453 3422.11191543 -7278.430307883
-3856.318915156 3422.135377281 -7278.454292438
-3856.319553102 3422.130206654 -7278.449759756
-3856.320080277 3422.152564972 -7278.472645249
-3856.320677272 3422.120341634 -7278.441018906
-3856.321226691 3422.107629484 -7278.428856175
-3856.321577888 3422.088325282 -7278.40990317
-3856.321881603 3422.080712938 -7278.402594541
-3856.322156644 3422.074912225 -7278.397068869
-3856.322503069 3422.078367993 -7278.400871062
-3856.322866841 3422.080788474 -7278.403655315
-3856.323140264 3422.08443499 -7278.407575254
-3856.323361758 3422.08434033 -7278.407702087
-3856.323549849 3422.079705561 -7278.40325541
-3856.323717986 3422.074453772 -7278.398171758
-3856.323842168 3422.067046022 -7278.39088819
-3856.323965533 3422.06236112 -7278.386326653
-3856.324071364 3422.061112471 -7278.385183834
-3856.324186883 3422.061986076 -7278.386172959
-3856.324254676 3422.066197007 -7278.390451683
-3856.324356849 3422.071715647 -7278.396072496
-3856.32451442 3422.078537074 -7278.403051494
-3856.324607903 3422.080041326 -7278.404649228
-3856.324708462 3422.076903251 -7278.401611713
-3856.324837894 3422.067438112 -7278.392276006
-3856.324951828 3422.05867531 -7278.383627138
-3856.325066578 3422.053119712 -7278.37818629
-3856.325183287 3422.050027785 -7278.375211072
-3856.325276323 3422.054946889 -7278.380223212
-3856.325339916 3422.067858443 -7278.393198359
-3856.325430035 3422.072547491 -7278.397977527
-3856.325490231 3422.073476801 -7278.398967032
-3856.325591154 3422.070225533 -7278.395816687
-3856.325647119 3422.058222617 -7278.383869736
-3856.325725311 3422.042774562 -7278.368499873
-3856.325813882 3422.018976635 -7278.344790517
-3856.325871575 3422.007136034 -7278.333007609
-3856.325928936 3422.004243429 -7278.330172365
-3856.325988261 3421.998342274 -7278.324330534
-3856.326021988 3422.00261044 -7278.328632428
-3856.326074608 3422.011583119 -7278.337657727
-3856.326106378 3422.016187293 -7278.342293671
-3856.326137766 3422.021986037 -7278.348123803
-3856.326166474 3422.022197511 -7278.348363986
-3856.326212413 3422.01972923 -7278.345941643
-3856.326235252 3422.017207765 -7278.343443017
-3856.326268913 3422.014628516 -7278.340897429
-3856.326300012 3422.015702002 -7278.342002014
-3856.326333064 3422.019760207 -7278.346093271
-3856.326358052 3422.027425888 -7278.35378394
-3856.326379425 3422.032097197 -7278.358476622
-3856.326411148 3422.033718888 -7278.360130036
-3856.326457615 3422.032368496 -7278.358826112
-3856.326488989 3422.026060364 -7278.352549352
-3856.326505849 3422.016943188 -7278.343449037
-3856.32652589 3422.010498948 -7278.337024839
-3856.326545935 3422.003994189 -7278.330540124
-3856.326584186 3421.999911149 -7278.326495335
-3856.326617342 3422.000192782 -7278.326810125
-3856.32665877 3422.000627247 -7278.327286017
-3856.326726831 3421.99635986 -7278.323086691
-3856.326780899 3421.991800069 -7278.318580968
-3856.32679414 3421.99193904 -7278.31873318
-3856.326817059 3421.989885323 -7278.316702382
-3856.326816799 3421.99303252 -7278.31984932
-3856.326845849 3421.990476444 -7278.317322293
-3856.326854973 3421.992688411 -7278.319543384
-3856.326896565 3422.001365428 -7278.328261992
-3856.326909303 3422.004300315 -7278.331209618
-3856.326922938 3422.007064776 -7278.333987713
-3856.326961199 3422.015329635 -7278.342290835
-3856.326968472 3422.013177625 -7278.340146097
-3856.326987406 3421.994953146 -7278.321940552
-3856.327005061 3422.006001768 -7278.333006829
-3856.32702694 3422.008696062 -7278.335723002
-3856.327038111 3422.012963708 -7278.340001819
-3856.327052571 3422.015811525 -7278.342864096
-3856.327077127 3422.018162795 -7278.345239922
-3856.327117526 3422.021651411 -7278.348768938
-3856.327157446 3422.023981877 -7278.351139323
-3856.327171222 3422.021950882 -7278.349122103
-3856.327219671 3422.015832885 -7278.343052556
-3856.327249922 3422.013406134 -7278.340656056
-3856.327261647 3422.012412635 -7278.339674283
-3856.327271226 3422.012071439 -7278.339342665
-3856.327303388 3422.011292948 -7278.338596336
-3856.327321435 3422.011307412 -7278.338628847
-3856.32735878 3422.011916471 -7278.339275251
-3856.327398303 3422.012263577 -7278.33966188
-3856.327444651 3422.010775892 -7278.338220543
-3856.327455148 3422.010296875 -7278.337752024
-3856.327545611 3422.004840653 -7278.332386264
-3856.327543738 3422.003658378 -7278.331202116
-3856.327621461 3422.000012786 -7278.327634246
-3856.327630525 3422.002717278 -7278.330347803
-3856.327670982 3422.004449586 -7278.332120568
-3856.327696664 3422.006305501 -7278.334002165
-3856.327718461 3422.006728771 -7278.334447232
-3856.327743411 3422.006440242 -7278.334183653
-3856.327780551 3422.006672299 -7278.33445285
-3856.327816838 3422.005538908 -7278.333355747
